num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
11,12,66
3,9,9
4,4,6
15,22,38
3,3,9
6,8,10
74,124,682
70,87,758
2,2,4
2,2,4
12,8,24
38,116,244
2,2,4
6,5,16
7,11,18
2,2,4
5,2,10
2,2,4
50,131,496
10,13,31
4,16,16
9,4,36
4,6,8
3,2,6
24,38,82
61,120,732
5,2,5
2,4,4
8,8,16
96,157,2030
2,2,4
6,12,18
9,24,54
14,48,84
3,9,9
2,2,3
102,56,714
2,4,4
4,6,12
2,2,2
9,24,39
1,2,3
17,64,77
6,8,12
4,12,12
29,44,177
19,26,49
44,167,421
5,4,20
4,12,12
6,11,16
2,2,4
2,4,4
6,7,9
126,731,1879
2,4,4
10,12,40
2,4,4
2,4,4
10,24,44
18,45,90
9,19,21
3,2,6
8,6,24
3,4,6
4,8,8
25,72,98
135,362,1595
12,24,33
4,12,16
27,62,123
7,7,9
153,188,8627
50,99,213
19,76,157
38,58,385
2,4,4
3,6,9
2,4,4
69,149,328
8,10,16
10,10,20
105,248,1944
54,249,344
3,3,3
13,23,41
4,9,12
7,12,12
5,10,10
35,34,160
422,974,5053
129,235,1099
5,10,13
2,4,4
49,112,492
274,714,4408
76,172,407
40,171,760
27,68,121
12,25,55
13,16,25
5,6,8
69,699,1249
9,22,29
7,15,21
4,8,20
2,4,4
9,36,45
11,14,22
59,161,426
29,88,124
2,2,2
491,942,19386
10,19,25
31,58,71
278,948,2690
48,129,234
2,2,4
6,15,30
33,79,210
150,702,1959
86,141,331
14,74,88
22,24,55
11,31,31
2,2,2
8,10,16
1,2,3
2,2,2
8,10,10
3,6,9
28,56,146
8,19,19
47,142,256
477,3102,12210
25,25,111
4,2,4
216,353,2940
123,154,2303
2,2,4
26,46,150
5,12,14
154,445,7471
3,3,3
29,23,310
12,23,32
7,24,29
26,67,233
21,36,150
9,11,50
27,26,49
5,16,24
1,2,2
11,10,27
54,116,904
93,242,1114
61,92,483
2,4,4
45,51,399
28,39,132
2,2,2
206,508,3205
359,427,3665
242,779,3673
21,22,74
13,24,33
42,149,315
5,7,7
463,1186,18518
10,27,35
72,154,416
348,667,3974
56,24,804
118,152,1539
23,30,230
43,101,338
10,16,21
264,472,2371
85,488,1556
5,15,25
9,12,26
127,373,1745
291,1033,4306
25,61,116
35,102,276
101,238,1257
3,3,3
163,508,1790
18,28,58
3,6,6
163,780,3108
16,22,54
2,2,2
3,6,9
4,8,16
17,50,94
34,90,204
